Id,MSSubClass,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotalBath,BedroomAbvGr,GarageCars,YrSold,SalePrice
766,20,Somerst,Norm,1Fam,1Story,9,5,2008,2008,1506,0,0,2,0,2,2,2,2008,264132
767,60,NWAmes,Norm,1Fam,2Story,7,5,1988,1988,1714,0,0,2,1,2.5,3,2,2010,196500
768,50,Mitchel,Norm,1Fam,1.5Fin,6,7,1940,1985,1750,1,0,2,0,3,4,1,2008,160000
769,20,CollgCr,Norm,1Fam,1Story,7,5,2004,2005,1836,0,0,2,0,2,3,2,2006,216837
770,60,StoneBr,Norm,1Fam,2Story,8,5,2003,2003,3279,1,0,3,1,4.5,4,3,2010,538000
771,85,Sawyer,Norm,1Fam,SFoyer,5,5,1982,1982,858,1,0,1,0,2,2,2,2009,134900
772,20,Edwards,Norm,1Fam,1Story,4,5,1951,1951,1220,0,0,1,0,1,2,2,2006,102000
773,80,Edwards,Norm,1Fam,SLvl,6,5,1976,1976,1117,1,0,1,0,2,3,2,2010,107000
774,20,NAmes,Feedr,1Fam,1Story,5,5,1958,1958,912,0,0,1,0,1,2,1,2007,114500
775,20,NridgHt,Norm,1Fam,1Story,8,5,2006,2006,1973,0,0,2,0,2,3,3,2007,395000
776,120,Mitchel,Norm,TwnhsE,1Story,6,5,1998,1998,1204,1,0,2,0,3,2,2,2009,162000
777,20,CollgCr,Norm,1Fam,1Story,7,5,2005,2006,1614,0,0,2,0,2,3,3,2006,221500
778,20,Sawyer,Norm,1Fam,1Story,5,5,1974,1974,894,1,0,1,0,2,3,2,2006,142500
779,90,SawyerW,Feedr,Duplex,1Story,5,5,1977,1977,2020,0,0,2,0,2,4,2,2007,144000
780,90,Mitchel,Norm,Duplex,SFoyer,6,5,1977,1977,1004,1,0,1,0,2,2,2,2006,135000
781,20,Gilbert,Norm,1Fam,1Story,7,5,1995,1996,1253,0,0,2,0,2,3,2,2007,176000
782,60,SawyerW,Norm,1Fam,2Story,6,5,1992,1992,1603,0,0,2,1,2.5,3,2,2006,175900
783,20,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,1430,0,0,2,0,2,3,2,2009,187100
784,85,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,1110,1,0,1,0,2,1,2,2009,165500
785,75,OldTown,Norm,1Fam,2.5Unf,6,6,1914,2001,1484,0,0,2,0,2,3,0,2008,128000
786,20,NWAmes,Feedr,1Fam,1Story,6,5,1967,1967,1342,0,0,2,0,2,3,2,2009,161500
787,50,OldTown,Artery,1Fam,1.5Fin,5,6,1915,1950,1652,1,0,2,0,3,4,1,2010,139000
788,60,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,2084,1,0,2,1,3.5,4,2,2010,233000
789,20,OldTown,Norm,1Fam,1Story,4,7,1954,2000,901,0,0,1,0,1,2,1,2008,107900
790,60,ClearCr,Norm,1Fam,2Story,6,8,1966,2007,2087,0,0,2,1,2.5,5,2,2007,187500
791,120,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,1145,0,0,2,0,2,2,2,2009,160200
792,80,Mitchel,Norm,1Fam,SLvl,6,5,1976,1976,1062,1,0,1,0,2,3,2,2007,146800
793,60,NoRidge,Norm,1Fam,2Story,7,5,1996,1997,2013,1,0,2,1,3.5,3,2,2007,269790
794,20,Somerst,Norm,1Fam,1Story,8,5,2007,2007,1496,0,0,2,0,2,3,2,2007,225000
795,60,Gilbert,Norm,1Fam,2Story,7,5,1994,1996,1895,0,0,2,1,2.5,3,2,2008,194500
796,60,SawyerW,Norm,1Fam,2Story,6,6,1980,1981,1564,0,0,2,1,2.5,3,2,2010,171000
797,20,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,1285,0,0,1,1,1.5,3,2,2007,143500
798,20,NAmes,Norm,1Fam,1Story,5,5,1953,1953,773,0,0,1,0,1,2,1,2008,110000
799,60,NridgHt,Norm,1Fam,2Story,9,5,2008,2009,3140,0,0,3,1,3.5,4,3,2009,485000
800,50,SWISU,Feedr,1Fam,1.5Fin,5,7,1937,1950,1768,1,0,1,1,2.5,3,1,2007,175000
801,60,ClearCr,Feedr,1Fam,2Story,6,5,1997,1997,1688,1,0,2,1,3.5,4,2,2008,200000
802,30,IDOTRR,Norm,1Fam,1Story,4,7,1916,1990,1196,1,0,1,0,2,2,2,2007,109900
803,60,CollgCr,Norm,1Fam,2Story,7,5,2005,2005,1456,1,0,2,1,3.5,3,2,2008,189000
804,60,NridgHt,Norm,1Fam,2Story,9,5,2008,2009,2822,0,0,3,1,3.5,4,3,2009,582933
805,20,NAmes,Norm,1Fam,1Story,5,5,1954,1954,1128,0,0,1,0,1,2,1,2006,118000
806,20,Somerst,Norm,1Fam,1Story,7,5,2008,2008,1428,0,0,2,0,2,3,2,2008,227680
807,80,NAmes,Norm,1Fam,SLvl,5,5,1967,1967,980,0,0,2,0,2,3,1,2006,135500
808,70,BrkSide,Norm,1Fam,2Story,5,6,1923,2004,1576,2,0,1,1,3.5,3,2,2009,223500
809,80,NAmes,Norm,1Fam,SLvl,5,5,1966,1966,1086,1,0,1,0,2,3,2,2006,159950
810,75,OldTown,Norm,1Fam,2.5Unf,5,5,1898,1965,2138,0,0,2,0,2,2,2,2009,106000
811,20,NWAmes,Norm,1Fam,1Story,6,6,1974,1999,1309,1,0,1,1,2.5,3,2,2006,181000
812,120,CollgCr,Norm,TwnhsE,1Story,6,5,2004,2004,848,1,0,1,0,2,1,2,2008,144500
813,20,IDOTRR,Norm,1Fam,1Story,5,5,1952,1952,1044,0,0,1,0,1,2,2,2010,55993
814,20,NAmes,Norm,1Fam,1Story,6,6,1958,1958,1442,0,0,1,1,1.5,4,1,2007,157900
815,50,Edwards,Norm,1Fam,1.5Fin,5,7,1918,1950,1250,0,1,1,1,2,3,1,2006,116000
816,20,CollgCr,Norm,1Fam,1Story,7,5,1998,1998,1661,0,0,2,0,2,3,2,2010,224900
817,20,NAmes,Norm,1Fam,1Story,5,6,1954,1954,1008,0,0,1,0,1,2,1,2006,137000
818,20,Mitchel,Norm,1Fam,1Story,8,5,2002,2002,1689,1,0,2,0,3,3,3,2008,271000
819,80,ClearCr,Norm,1Fam,SLvl,6,7,1971,1971,1052,1,0,1,0,2,3,2,2010,155000
820,120,NridgHt,Norm,TwnhsE,1Story,7,5,2009,2010,1358,1,0,2,0,3,2,2,2010,224000
821,60,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,1640,0,0,2,1,2.5,3,2,2008,183000
822,20,OldTown,Norm,2fmCon,1Story,4,4,1953,1953,936,0,0,1,0,1,2,2,2009,93000
823,60,Gilbert,Norm,1Fam,2Story,7,5,2003,2003,1733,0,0,2,1,2.5,3,2,2007,225000
824,50,SWISU,Norm,1Fam,1.5Fin,6,7,1940,1950,1489,0,0,2,0,2,3,1,2009,139500
825,20,Somerst,Norm,1Fam,1Story,8,5,2006,2006,1489,0,0,2,0,2,3,2,2006,232600
826,20,NridgHt,PosN,1Fam,1Story,10,5,2007,2008,2084,1,0,2,0,3,2,3,2008,385000
827,45,BrkSide,Norm,1Fam,1.5Unf,5,6,1924,1950,784,1,0,1,0,2,2,0,2008,109500
828,20,SawyerW,Norm,1Fam,1Story,7,5,2001,2001,1434,0,0,2,0,2,3,2,2009,189000
829,60,ClearCr,Norm,1Fam,2Story,5,5,1967,1967,2126,0,1,2,1,3,3,2,2009,185000
830,160,Somerst,Norm,Twnhs,2Story,7,5,2005,2005,1223,0,0,2,1,2.5,2,2,2006,147400
831,20,NAmes,Norm,1Fam,1Story,6,5,1957,1957,1392,1,0,1,1,2.5,3,2,2008,166000
832,160,Somerst,Norm,TwnhsE,2Story,7,5,2005,2005,1200,0,0,2,1,2.5,2,2,2006,151000
833,60,CollgCr,Norm,1Fam,2Story,7,6,2003,2003,1829,1,0,2,1,3.5,3,2,2010,237000
834,20,NAmes,Norm,1Fam,1Story,6,6,1964,1964,1516,0,0,1,1,1.5,3,2,2009,167000
835,20,NAmes,Norm,1Fam,1Story,5,6,1961,1961,1144,1,0,1,0,2,3,2,2008,139950
836,20,Sawyer,Norm,1Fam,1Story,4,7,1950,1995,1067,0,0,2,0,2,2,2,2010,128000
837,30,OldTown,Norm,1Fam,1Story,5,6,1948,1973,1559,1,0,1,0,2,2,2,2007,153500
838,160,BrDale,Norm,Twnhs,2Story,6,5,1973,1973,987,1,0,1,1,2.5,2,1,2008,100000
839,20,CollgCr,Norm,1Fam,1Story,5,6,1995,2006,1099,0,0,1,1,1.5,3,1,2008,144000
840,50,Edwards,Norm,1Fam,1.5Fin,5,6,1946,1995,1200,0,0,1,0,1,3,1,2008,130500
841,70,SWISU,Norm,1Fam,2Story,6,8,1925,1950,1482,0,0,2,0,2,4,1,2008,140000
842,70,OldTown,Norm,1Fam,2Story,5,8,1904,2002,1539,0,0,2,0,2,3,2,2008,157500
843,80,NAmes,Norm,1Fam,SLvl,6,7,1966,1966,1165,1,0,1,1,2.5,3,2,2008,174900
844,90,NAmes,Artery,Duplex,1Story,5,4,1961,1961,1800,0,0,2,0,2,6,0,2007,141000
845,50,OldTown,Artery,1Fam,1.5Fin,5,8,1915,1950,1416,0,0,1,1,1.5,4,3,2008,153900
846,85,Sawyer,RRAe,1Fam,SFoyer,5,5,1975,1981,1701,1,0,2,0,3,3,2,2007,171000
847,60,SawyerW,Norm,1Fam,2Story,7,5,1993,1993,1775,1,0,2,1,3.5,3,2,2009,213000
848,20,CollgCr,Norm,1Fam,1Story,5,6,1972,1972,864,1,0,1,0,2,3,1,2009,133500
849,50,ClearCr,Norm,1Fam,1.5Fin,6,8,1908,1997,2358,0,0,3,0,3,5,2,2008,240000
850,80,Veenker,Feedr,1Fam,SLvl,6,7,1976,1994,1855,0,0,2,1,2.5,3,2,2007,187000
851,120,CollgCr,Norm,TwnhsE,1Story,6,5,2003,2003,848,1,0,1,0,2,1,2,2007,131500
852,120,Blmngtn,Norm,TwnhsE,1Story,8,5,2003,2003,1456,0,0,2,0,2,2,2,2006,215000
853,75,Crawfor,Norm,1Fam,2.5Unf,7,5,1941,1950,1646,0,0,2,0,2,4,1,2007,164000
854,80,NAmes,Norm,1Fam,SLvl,6,6,1964,1964,1445,0,0,1,1,1.5,3,2,2009,158000
855,20,Sawyer,Norm,1Fam,1Story,5,4,1955,1974,1779,1,0,1,1,2.5,3,2,2006,170000
856,20,Sawyer,Norm,1Fam,1Story,5,8,1962,2010,1040,1,0,1,1,2.5,3,1,2010,127000
857,80,CollgCr,Norm,1Fam,SLvl,6,6,1978,1978,1026,1,0,1,0,2,3,2,2008,147000
858,60,Gilbert,Norm,1Fam,2Story,6,5,1994,1995,1481,0,0,2,1,2.5,3,2,2009,174000
859,20,NWAmes,Norm,1Fam,1Story,7,5,1976,1976,1370,0,0,2,0,2,3,2,2009,152000
860,60,NWAmes,PosA,1Fam,2Story,6,7,1968,1984,2654,1,0,2,1,3.5,4,2,2006,250000
861,50,Crawfor,Norm,1Fam,1.5Fin,7,8,1918,1998,1426,0,0,1,1,1.5,3,1,2007,189950
862,190,Sawyer,Norm,2fmCon,1Story,5,4,1965,1965,1039,1,0,1,1,2.5,3,2,2010,131500
863,20,SawyerW,Norm,1Fam,1Story,6,5,1984,1985,1097,0,0,2,0,2,3,2,2010,152000
864,20,NAmes,Norm,1Fam,1Story,5,5,1959,1959,1148,1,0,1,0,2,3,1,2009,132500
865,20,Somerst,Norm,1Fam,1Story,7,5,2007,2008,1372,0,0,2,0,2,3,2,2008,250580
866,20,NAmes,Norm,1Fam,1Story,5,6,1970,1970,1002,1,0,1,0,2,3,2,2009,148500
867,20,Timber,Norm,1Fam,1Story,8,5,2006,2007,1646,0,0,2,0,2,3,3,2007,248900
868,20,Sawyer,Feedr,1Fam,1Story,4,5,1961,1961,1120,1,0,1,1,2.5,3,2,2007,129000
869,60,Gilbert,Feedr,1Fam,2Story,5,6,1948,1950,2320,0,0,2,0,2,2,2,2006,169000
870,60,SawyerW,Norm,1Fam,2Story,7,5,1993,1994,1949,1,0,2,1,3.5,3,2,2010,236000
871,20,NAmes,PosN,1Fam,1Story,5,5,1962,1962,894,0,0,1,0,1,2,1,2009,109500
872,60,CollgCr,Norm,1Fam,2Story,6,5,1998,1998,1682,0,0,2,1,2.5,3,2,2010,200500
873,20,NAmes,Norm,1Fam,1Story,5,7,1953,1996,910,0,0,1,0,1,3,2,2008,116000
874,40,NAmes,Norm,1Fam,1Story,5,7,1949,1950,1268,0,0,1,0,1,3,1,2009,133000
875,50,OldTown,Artery,1Fam,1.5Fin,5,6,1941,1950,1131,0,0,1,1,1.5,3,1,2009,66500
876,60,Somerst,Norm,1Fam,2Story,8,5,2007,2007,2610,0,0,2,1,2.5,4,2,2007,303477
877,20,Mitchel,Norm,1Fam,1Story,4,5,1963,1963,1040,1,0,1,0,2,3,2,2007,132250
878,60,NridgHt,Norm,1Fam,2Story,9,5,2004,2005,2224,1,0,2,1,3.5,4,3,2009,350000
879,85,Sawyer,Norm,1Fam,SFoyer,5,7,1961,1995,1155,1,0,1,0,2,3,2,2010,148000
880,20,CollgCr,Norm,1Fam,1Story,5,8,1978,2005,864,1,0,1,0,2,3,1,2009,136500
881,20,Edwards,Norm,1Fam,1Story,5,5,2005,2006,1090,1,0,1,1,2.5,2,2,2007,157000
882,50,Timber,Norm,1Fam,1.5Fin,7,5,1990,1991,1717,0,0,2,1,2.5,3,2,2007,187500
883,60,Gilbert,Norm,1Fam,2Story,6,5,1992,1993,1593,0,0,2,1,2.5,3,2,2009,178000
884,75,SWISU,Norm,1Fam,2.5Fin,4,5,1912,1950,2230,1,0,1,0,2,5,1,2006,118500
885,20,NAmes,Norm,1Fam,1Story,5,5,1967,1967,892,0,0,1,0,1,3,1,2009,100000
886,120,Somerst,Norm,TwnhsE,1Story,9,5,1999,2000,1709,1,0,2,0,3,2,2,2008,328900
887,90,NAmes,Norm,Duplex,1Story,5,5,1959,2005,1712,0,0,2,0,2,4,2,2006,145000
888,50,Edwards,Norm,1Fam,1.5Fin,5,7,1955,1955,1393,0,0,1,1,1.5,3,1,2008,135500
889,20,NAmes,Norm,1Fam,1Story,8,6,1970,1970,2217,1,0,2,0,3,4,2,2007,268000
890,20,NAmes,Feedr,1Fam,1Story,6,4,1953,1953,1505,1,0,1,0,2,2,2,2009,149500
891,50,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,924,0,0,1,0,1,3,2,2007,122900
892,60,Sawyer,Norm,1Fam,2Story,6,5,1978,1978,1683,0,0,2,1,2.5,3,2,2009,172500
893,20,Sawyer,Norm,1Fam,1Story,6,8,1963,2003,1068,0,1,1,0,1.5,3,1,2006,154500
894,20,Sawyer,PosN,1Fam,1Story,5,5,1954,1954,1383,1,0,1,0,2,3,1,2008,165000
895,90,SawyerW,Norm,Duplex,1Story,5,5,1979,1979,1535,0,0,2,0,2,4,2,2009,118858
896,60,NAmes,Norm,1Fam,2Story,6,5,1963,1963,1796,1,0,1,1,2.5,4,2,2008,140000
897,30,IDOTRR,Norm,1Fam,1Story,4,6,1936,1950,951,0,0,1,0,1,2,1,2006,106500
898,90,SawyerW,Feedr,Duplex,2Story,5,5,1979,1979,2240,0,0,2,0,2,6,2,2009,142953
899,20,NridgHt,Norm,1Fam,1Story,9,5,2009,2010,2364,1,0,2,1,3.5,2,3,2010,611657
900,20,Sawyer,Feedr,1Fam,1Story,5,7,1961,1994,1236,0,0,1,0,1,3,1,2006,135000
901,20,NAmes,Norm,1Fam,1Story,4,6,1971,1971,858,0,0,1,0,1,2,1,2007,110000
902,20,NAmes,Norm,1Fam,1Story,5,7,1957,2000,1306,1,0,1,0,2,2,1,2009,153000
903,60,Gilbert,Norm,1Fam,2Story,7,5,2003,2003,1509,0,0,2,1,2.5,3,2,2006,180000
904,20,Gilbert,Norm,1Fam,1Story,7,5,2006,2006,1670,0,0,2,0,2,3,3,2006,240000
905,20,Sawyer,Norm,1Fam,1Story,5,6,1967,1967,902,0,0,1,0,1,3,1,2007,125500
906,20,NAmes,Norm,1Fam,1Story,5,5,1954,1954,1063,1,0,1,0,2,3,1,2010,128000
907,20,Somerst,Norm,1Fam,1Story,8,5,2006,2006,1636,1,0,2,0,3,3,3,2007,255000
908,50,Crawfor,Norm,1Fam,1.5Fin,7,7,1936,1987,2057,0,0,1,1,1.5,3,1,2006,250000
909,20,Mitchel,Norm,1Fam,1Story,5,5,1983,1983,902,1,0,1,0,2,2,2,2006,131000
910,60,Gilbert,Norm,1Fam,2Story,6,5,2005,2005,1484,0,0,2,1,2.5,3,2,2009,174000
911,90,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,2274,0,0,2,0,2,5,2,2010,154300
912,20,CollgCr,Norm,1Fam,1Story,5,7,1977,1989,1268,0,0,1,1,1.5,3,1,2009,143500
913,30,BrkSide,Norm,1Fam,1Story,5,7,1925,1950,1015,0,0,1,0,1,3,1,2006,88000
914,90,Crawfor,Norm,Duplex,2Story,5,6,1949,1950,2002,0,0,2,0,2,4,3,2007,145000
915,160,Somerst,Norm,TwnhsE,2Story,6,5,2009,2009,1224,0,0,2,1,2.5,2,2,2009,173733
916,160,MeadowV,Norm,Twnhs,2Story,4,5,1970,1970,1092,0,0,1,1,1.5,3,1,2007,75000
917,20,IDOTRR,Norm,1Fam,1Story,2,3,1949,1950,480,1,0,0,0,1,1,1,2006,35311
918,20,Edwards,Norm,1Fam,1Story,4,6,1956,1956,1229,0,0,1,0,1,3,1,2009,135000
919,60,SawyerW,Norm,1Fam,2Story,7,5,1991,1991,2127,1,0,2,1,3.5,4,3,2007,238000
920,20,NAmes,Norm,1Fam,1Story,6,8,1958,2002,1414,1,0,1,0,2,3,2,2008,176500
921,60,SawyerW,Norm,1Fam,2Story,6,5,1994,1994,1721,0,1,2,1,3,3,2,2007,201000
922,90,Edwards,Feedr,Duplex,1.5Fin,5,7,1900,2003,2200,2,0,2,2,5,4,0,2008,145900
923,20,Gilbert,RRAn,1Fam,1Story,6,5,2005,2006,1316,0,0,2,0,2,3,2,2006,169990
924,120,SawyerW,Norm,TwnhsE,1Story,6,5,1993,1994,1617,1,0,2,0,3,2,2,2008,193000
925,20,NWAmes,Norm,1Fam,1Story,6,6,1980,1980,1686,1,0,2,0,3,3,2,2006,207500
926,20,NWAmes,Norm,1Fam,1Story,5,6,1977,1977,1126,0,1,2,0,2.5,3,2,2008,175000
927,60,NridgHt,Norm,1Fam,2Story,8,5,2003,2004,2374,0,0,2,1,2.5,4,3,2007,285000
928,60,NWAmes,Feedr,1Fam,2Story,7,5,1968,1968,1978,0,0,2,1,2.5,4,2,2008,176000
929,20,CollgCr,Norm,1Fam,1Story,8,5,2001,2001,1788,0,0,2,0,2,3,2,2009,236500
930,60,Gilbert,Norm,1Fam,2Story,7,5,1997,1997,2236,0,0,2,1,2.5,4,2,2006,222000
931,20,Timber,Norm,1Fam,1Story,8,5,2007,2007,1466,0,0,2,0,2,3,3,2009,201000
932,20,NAmes,Norm,1Fam,1Story,5,6,1965,1965,925,0,1,1,0,1.5,2,1,2009,117500
933,20,Somerst,RRNn,1Fam,1Story,9,5,2006,2006,1905,0,0,2,0,2,3,3,2007,320000
934,20,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,1500,0,0,2,0,2,3,2,2009,190000
935,20,NAmes,PosA,1Fam,1Story,7,7,1960,2007,2069,1,0,2,0,3,4,2,2008,242000
936,30,BrkSide,Norm,1Fam,1Story,4,5,1926,1953,747,0,0,1,0,1,1,2,2006,79900
937,20,SawyerW,Norm,1Fam,1Story,7,5,2003,2003,1200,1,0,2,0,3,2,2,2009,184900
938,60,Somerst,Norm,1Fam,2Story,7,5,2005,2005,1971,0,0,2,1,2.5,3,2,2009,253000
939,60,CollgCr,Norm,1Fam,2Story,7,5,2006,2006,1962,0,0,2,1,2.5,3,3,2006,239799
940,70,ClearCr,Norm,1Fam,2Story,7,7,1940,1950,2403,0,0,2,0,2,4,1,2010,244400
941,90,Mitchel,Norm,Duplex,1Story,6,5,1976,1976,1728,0,0,2,0,2,4,2,2006,150900
942,60,Gilbert,RRNn,1Fam,2Story,7,5,1999,1999,2060,1,0,2,1,3.5,3,2,2009,214000
943,90,Edwards,Norm,Duplex,1Story,4,3,1977,1977,1440,2,0,2,0,4,4,0,2007,150000
944,90,Mitchel,Norm,Duplex,1Story,5,4,1967,1967,1632,0,0,2,0,2,4,2,2007,143000
945,20,Timber,Norm,1Fam,SLvl,6,6,1958,1958,1344,0,1,1,0,1.5,3,2,2009,137500
946,50,OldTown,Norm,1Fam,1.5Fin,5,6,1890,1996,1869,0,0,1,0,1,2,2,2009,124900
947,80,NAmes,Norm,1Fam,SLvl,5,6,1959,1959,1144,1,0,1,0,2,3,1,2006,143000
948,20,Timber,Norm,1Fam,1Story,8,5,2002,2003,1629,1,0,2,0,3,3,3,2007,270000
949,60,CollgCr,Norm,1Fam,2Story,7,5,2002,2002,1776,0,0,2,1,2.5,3,2,2006,192500
950,20,NWAmes,Norm,1Fam,1Story,6,7,1972,2006,1381,1,0,1,1,2.5,3,2,2010,197500
951,20,NAmes,Norm,1Fam,1Story,5,8,1950,2002,864,1,0,1,0,2,3,2,2007,129000
952,20,SawyerW,Norm,1Fam,1Story,5,5,1965,1965,965,1,0,1,0,2,3,1,2006,119900
953,85,CollgCr,Norm,1Fam,SFoyer,5,8,1972,2003,768,0,1,1,0,1.5,2,1,2009,133900
954,60,Mitchel,Norm,1Fam,2Story,5,4,1969,1969,1968,0,1,2,1,3,4,2,2008,172000
955,90,Edwards,Norm,Duplex,SFoyer,6,5,1975,1975,980,0,2,2,0,3,4,0,2006,127500
956,90,Crawfor,Norm,Duplex,2Story,6,6,1946,1950,1958,0,0,2,0,2,4,2,2007,145000
957,160,Blueste,Norm,TwnhsE,2Story,6,6,1980,1980,1229,0,0,1,1,1.5,2,2,2009,124000
958,20,Sawyer,Norm,1Fam,1Story,5,5,1962,1962,1057,0,0,1,0,1,3,2,2007,132000
959,20,CollgCr,Norm,1Fam,1Story,7,5,2003,2003,1337,1,0,2,0,3,3,2,2007,185000
960,160,Somerst,Norm,Twnhs,2Story,7,5,1999,1999,1416,1,0,2,1,3.5,3,2,2010,155000
961,20,BrkSide,Norm,1Fam,1Story,5,7,1958,2008,858,1,0,1,0,2,2,0,2010,116500
962,60,NWAmes,PosN,1Fam,2Story,6,7,1977,1995,2872,1,0,2,1,3.5,4,2,2008,272000
963,160,NPkVill,Norm,TwnhsE,2Story,6,6,1976,1976,1548,1,0,2,1,3.5,3,2,2007,155000
964,20,CollgCr,Norm,1Fam,1Story,9,5,2007,2007,1800,0,0,2,0,2,2,2,2009,239000
965,60,Timber,Norm,1Fam,2Story,7,5,2002,2003,1894,1,0,2,1,3.5,4,2,2010,214900
966,60,Gilbert,RRAn,1Fam,2Story,6,5,2005,2007,1484,0,0,2,1,2.5,3,2,2007,178900
967,50,Crawfor,Norm,1Fam,1.5Fin,5,7,1940,1950,1308,1,0,1,1,2.5,2,1,2009,160000
968,20,NAmes,Norm,1Fam,1Story,5,7,1955,1955,1098,1,0,1,0,2,3,1,2008,135000
969,50,OldTown,Norm,1Fam,1.5Fin,3,6,1910,1950,968,0,0,1,0,1,2,0,2009,37900
970,190,NAmes,Norm,2fmCon,SLvl,6,5,1958,1958,1095,1,0,1,0,2,2,1,2006,140000
971,50,NAmes,Norm,1Fam,1.5Fin,4,4,1949,1950,1192,0,0,1,1,1.5,4,0,2006,135000
972,160,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,1626,0,0,2,0,2,2,2,2009,173000
973,120,SawyerW,Norm,TwnhsE,1Story,6,5,1979,1979,918,0,0,2,0,2,2,1,2010,99500
974,20,Somerst,Norm,1Fam,1Story,7,5,2007,2008,1428,0,0,2,0,2,3,2,2008,182000
975,70,BrkSide,RRAn,1Fam,2Story,7,8,1910,1993,2019,0,0,1,0,1,3,2,2009,167500
976,160,Somerst,Norm,Twnhs,2Story,7,5,2000,2000,1382,1,0,2,1,3.5,3,2,2006,165000
977,30,BrkSide,Norm,1Fam,1Story,4,7,1923,1958,869,0,0,1,0,1,2,0,2006,85500
978,120,Somerst,Norm,TwnhsE,1Story,7,5,2006,2007,1241,1,0,1,1,2.5,1,2,2007,199900
979,20,Edwards,Norm,1Fam,1Story,4,5,1954,1954,894,0,0,1,0,1,3,2,2007,110000
980,20,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,1121,1,0,1,0,2,3,2,2009,139000
981,85,NAmes,Norm,1Fam,SFoyer,7,9,1961,2007,999,1,0,1,0,2,3,2,2008,178400
982,60,NoRidge,Norm,1Fam,2Story,8,5,1998,1999,2612,1,0,2,1,3.5,4,3,2009,336000
983,20,Blmngtn,Norm,1Fam,1Story,7,5,2007,2007,1266,0,0,2,0,2,2,2,2008,159895
984,60,CollgCr,Norm,1Fam,2Story,8,5,2002,2002,2290,0,0,2,1,2.5,4,2,2008,255900
985,90,Mitchel,Norm,Duplex,1.5Fin,5,5,1977,1977,1734,0,0,2,0,2,4,2,2009,126000
986,190,Edwards,Norm,2fmCon,1Story,5,5,1950,1950,1164,1,0,1,0,2,3,1,2008,125000
987,50,OldTown,Feedr,1Fam,1.5Fin,6,8,1910,2003,1635,0,0,1,0,1,2,1,2006,117000
988,20,NridgHt,Norm,1Fam,1Story,9,5,2009,2010,1940,1,0,2,1,3.5,3,3,2010,395192
989,60,NWAmes,Norm,1Fam,2Story,6,6,1976,1976,2030,0,0,2,1,2.5,4,2,2007,195000
990,60,Somerst,Norm,1Fam,2Story,7,5,2006,2006,1576,0,0,2,1,2.5,3,2,2006,197000
991,60,NoRidge,Norm,1Fam,2Story,8,5,1997,1998,2392,1,0,2,1,3.5,3,3,2006,348000
992,70,OldTown,Artery,1Fam,2Story,8,9,1882,1986,1742,0,0,1,1,1.5,4,2,2009,168000
993,60,NAmes,Norm,1Fam,2Story,6,8,1964,1993,1851,0,0,2,1,2.5,3,2,2007,187000
994,60,CollgCr,Norm,1Fam,2Story,6,5,2005,2006,1500,0,0,2,1,2.5,3,2,2006,173900
995,20,NridgHt,Norm,1Fam,1Story,10,5,2006,2007,1718,1,0,2,0,3,3,3,2009,337500
996,50,BrkSide,Feedr,1Fam,1.5Fin,4,7,1946,1950,1230,1,0,1,1,2.5,3,1,2006,121600
997,20,NAmes,Norm,1Fam,1Story,5,6,1961,1961,1050,1,0,1,0,2,3,1,2006,136500
998,20,NWAmes,PosA,1Fam,1Story,6,6,1970,1970,1442,0,0,2,0,2,2,2,2009,185000
999,30,IDOTRR,Norm,1Fam,1Story,3,4,1922,1950,1077,0,0,1,0,1,3,1,2006,91000
1000,20,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,1208,1,0,2,0,3,2,2,2010,206000
1001,20,Edwards,Norm,1Fam,1Story,3,3,1952,1952,944,0,0,1,0,1,2,2,2009,82000
1002,30,OldTown,Norm,1Fam,1Story,5,6,1920,1950,691,0,0,1,0,1,2,1,2007,86000
1003,20,Somerst,RRAn,1Fam,1Story,8,5,2006,2006,1574,0,0,2,0,2,3,3,2008,232000
1004,90,NWAmes,Feedr,Duplex,1Story,5,6,1976,1976,1680,0,0,2,0,2,4,2,2007,136905
1005,120,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,1504,0,0,2,0,2,1,2,2009,181000
1006,80,CollgCr,Norm,1Fam,SLvl,5,8,1977,1977,985,0,0,2,0,2,3,1,2008,149900
1007,20,NAmes,PosN,1Fam,1Story,6,3,1970,1970,1657,0,1,2,0,2.5,3,2,2007,163500
1008,160,MeadowV,Norm,TwnhsE,2Story,4,4,1970,1970,1092,0,0,1,1,1.5,3,1,2009,88000
